Age,SeniorCitizen,TenureMonths,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,AverageMonthlySpend,Gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_Unknown,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit Card,PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,TenureGroup_1-2 Years,TenureGroup_2-4 Years,TenureGroup_4-6 Years,MonthlyChargeCategory_Low,MonthlyChargeCategory_Medium,SupportLevel_Low,SupportLevel_Medium
-0.5958812508298601,-0.6958664064737047,0.08802853176451815,-1.7707645606274462,-0.8508139037899044,0.6113960945320399,1.407846914298008,-1.6126194245316487,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
-0.04652371621287572,-0.6958664064737047,1.4986479898325151,0.8500089955873515,2.022054854566839,-0.26783611043943567,-0.6989198859983002,0.8527804534216658,True,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False
-1.5847248131404321,-0.6958664064737047,-0.2411160084513478,1.1581239329589628,0.2708821865603094,-0.26783611043943567,0.003335714100469177,1.068923840097655,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False
-0.1563952231362726,-0.6958664064737047,0.7933382607985167,1.7972603117924946,1.9161348225322343,0.6113960945320399,1.407846914298008,1.6814589159101712,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True
-1.694596320063829,-0.6958664064737047,-1.3225909263034787,0.8859407667094052,-1.0065461078435693,-1.1470683154109114,-0.6989198859983002,0.6005533823098255,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
-1.4199175527553367,-0.6958664064737047,-1.087487683292146,-0.32451077296478137,-0.912989970887998,-0.26783611043943567,1.407846914298008,-0.12293103173150527,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
-1.4748533062170353,-0.6958664064737047,-1.1345083318944125,0.49608105003512204,-0.8306111393793104,-0.26783611043943567,1.407846914298008,0.5481980447140797,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-0.5958812508298601,-0.6958664064737047,-1.4636528721102784,-0.5225846612751026,-1.2421425570870137,4.128324914417942,1.407846914298008,-0.7192624671966127,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
-0.32120248352136793,-0.6958664064737047,-1.0404670346898794,0.8131789301872467,-0.6746022693492374,-1.1470683154109114,0.7055913141992386,0.8647765813911619,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1.0521913530210931,1.437057444786693,1.075462152412116,1.1320733988954739,1.7767197629538327,-0.26783611043943567,1.407846914298008,1.089245455994091,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1.0521913530210931,1.437057444786693,1.6867305842415814,-0.2692656748646235,1.1310797441424798,1.4906282995035156,0.7055913141992386,-0.18079818857141705,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True
1.7114203945614745,1.437057444786693,-0.28813665705361435,-0.5796263479313631,-0.47644180078020165,-0.26783611043943567,0.003335714100469177,-0.5095335554178718,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False
-0.7606885112149555,-0.6958664064737047,0.6052556663894504,-0.20189360401077264,0.3282995988641852,-1.1470683154109114,-1.4011754860970695,-0.1830819555681198,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False
0.00841203724882273,-0.6958664064737047,-0.75834314307628,-0.6784387185170109,-0.8248073020075513,-0.26783611043943567,0.003335714100469177,-0.6740509420204731,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False
1.0521913530210931,1.437057444786693,1.6867305842415814,-0.725150020975681,0.6438279227583085,1.4906282995035156,-1.4011754860970695,-0.6424431835801038,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True
1.4916773807146808,1.437057444786693,-0.5702605486672138,0.9034575051314064,-0.20021848993444324,0.6113960945320399,-1.4011754860970695,0.7874318803902358,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1.3268701203295854,1.437057444786693,-1.5576941693148116,-1.8808056096887358,-1.3193876977001302,-0.26783611043943567,-1.4011754860970695,-1.250616718555524,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
1.16206285994449,1.437057444786693,-0.9464257374853463,-0.206834222540055,-0.8433316261612699,-1.1470683154109114,1.407846914298008,-0.282313836763436,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False
0.06334779071052117,-0.6958664064737047,1.5456686384347817,-0.9052580237249755,0.4144103469879764,1.4906282995035156,0.7055913141992386,-0.7860166623102743,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True
0.8873840926359978,1.437057444786693,1.4986479898325151,-0.38514563673324714,0.8848777658033948,0.6113960945320399,0.7055913141992386,-0.2880112265895656,False,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True
0.2281550510956165,-0.6958664064737047,-1.087487683292146,-0.18572430700584847,-0.8880838848784679,1.4906282995035156,0.7055913141992386,0.00776105367490417,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True
-1.4199175527553367,-0.6958664064737047,-0.19409535984908124,1.1846236141614777,0.3473834031035289,-1.1470683154109114,1.407846914298008,1.1186982212226002,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0.8873840926359978,1.437057444786693,-1.181528980496679,-0.07478496366650746,-0.962242662821433,0.6113960945320399,0.7055913141992386,0.014172330322609656,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
-0.6508170042915586,-0.6958664064737047,-0.9934463860876128,1.7231510338532583,-0.4400387064177164,1.4906282995035156,-1.4011754860970695,1.7033986471738132,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
0.9972555995593947,1.437057444786693,0.9814208552075828,-0.7893780618563522,0.14076925192202613,-0.26783611043943567,-1.4011754860970695,-0.7406828675632401,False,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
